"rank","business_name","review_count","categories","rating","address","price_range","url"
"1","Ace Appliance Service","174","Appliances &amp; Repair","5"," ","","https://www.yelp.com/biz/ace-appliance-service-sunnyvale?osq=oven-repair"
"2","De Anza Appliance","176","Appliances &amp; Repair","4.5","3350 Scott Blvd ","","https://www.yelp.com/biz/de-anza-appliance-santa-clara?osq=oven-repair"
"3","Cool Kat Appliance Repair","279","Appliances &amp; Repair","5"," ","","https://www.yelp.com/biz/cool-kat-appliance-repair-campbell-2?osq=oven-repair"
"4","Sunny Appliance Repair","471","Heating &amp; Air Conditioning/HVAC,Appliances &amp; Repair","4.5","48521 Warm Springs Blvd ","","https://www.yelp.com/biz/sunny-appliance-repair-fremont?osq=oven-repair"
"5","Sigma Appliances","26","Appliances &amp; Repair","4.5","3330 El Camino Real ","","https://www.yelp.com/biz/sigma-appliances-santa-clara-3?osq=oven-repair"
"6","5 Star Appliance Repair","1","Appliances &amp; Repair,Heating &amp; Air Conditioning/HVAC","1"," ","","https://www.yelp.com/biz/5-star-appliance-repair-san-jose?osq=oven-repair"
"7","Art Appliance Repair","124","Appliances &amp; Repair","4.5","1135 Luchessi Dr Cambrian Park","","https://www.yelp.com/biz/art-appliance-repair-san-jose-2?osq=oven-repair"
"8","Fair Repair","9","Appliances &amp; Repair,Heating &amp; Air Conditioning/HVAC","5"," ","","https://www.yelp.com/biz/fair-repair-sunnyvale?osq=oven-repair"
"9","Fuse HVAC &amp; Appliance Repair","203","Appliances &amp; Repair,Heating &amp; Air Conditioning/HVAC,Water Heater Installation/Repair","5","504 Shadow Glen West San Jose","","https://www.yelp.com/biz/fuse-hvac-and-appliance-repair-san-jose?osq=oven-repair"
"10","Spark Appliance Repair","181","Appliances &amp; Repair,Heating &amp; Air Conditioning/HVAC","5","1335 Montecito Ave ","","https://www.yelp.com/biz/spark-appliance-repair-mountain-view?osq=oven-repair"
